FULL_step,FULL_reward,INT_step,INT_reward,EXT_step,EXT_reward
0,-160.2662353515625,0,-123.41712951660156,0,-115.54532623291016
1,-246.55702209472656,1,-237.9247589111328,1,-239.05650329589844
2,-320.9850158691406,2,-301.23895263671875,2,-289.2446594238281
3,-337.73834228515625,3,-338.8376770019531,3,-340.6187438964844
4,-389.93048095703125,4,-394.2478942871094,4,-386.7654724121094
5,-417.66064453125,5,-429.2146911621094,5,-431.251220703125
6,-508.5419921875,6,-512.8429565429688,6,-525.6187744140625
7,-508.3472900390625,7,-532.005615234375,7,-527.6901245117188
8,-542.5540771484375,8,-531.7557983398438,8,-599.7998657226562
9,-538.3433227539062,9,-585.3455810546875,9,-571.144287109375
10,-597.537841796875,10,-649.9758911132812,10,-712.1279907226562
11,-567.7890014648438,11,-643.82421875,11,-686.7098388671875
12,-633.912109375,12,-716.4976196289062,12,-717.4987182617188
13,-670.8062744140625,13,-644.3758544921875,13,-702.6016235351562
14,-606.0582885742188,14,-650.240966796875,14,-811.0624389648438
15,-727.0860595703125,15,-777.3724975585938,15,-858.8912353515625
16,-633.4943237304688,16,-716.827880859375,16,-769.333984375
17,-615.433837890625,17,-677.9868774414062,17,-844.9678344726562
18,-642.648193359375,18,-697.5512084960938,18,-883.0194702148438
19,-624.9882202148438,19,-754.3235473632812,19,-735.2489013671875
20,-710.8790893554688,20,-753.4940795898438,20,-921.4236450195312
21,-665.8930053710938,21,-775.3580932617188,21,-750.605224609375
22,-663.9299926757812,22,-822.7651977539062,22,-732.1068725585938
23,-630.6997680664062,23,-634.0645141601562,23,-791.4281005859375
24,-649.4561157226562,24,-868.7607421875,24,-770.08935546875
25,-621.5010986328125,25,-805.5172729492188,25,-678.7855224609375
26,-603.6005859375,26,-789.2368774414062,26,-762.2739868164062
27,-626.5955200195312,27,-729.9759521484375,27,-668.0431518554688
28,-639.1886596679688,28,-656.6973266601562,28,-771.5774536132812
29,-561.0487670898438,29,-660.4677124023438,29,-801.47412109375
30,-681.1004638671875,30,-813.1383056640625,30,-731.4033203125
31,-643.7430419921875,31,-816.3508911132812,31,-800.5400390625
32,-652.7346801757812,32,-753.4955444335938,32,-769.156494140625
33,-508.86419677734375,33,-708.5643920898438,33,-697.3050537109375
34,-555.5518798828125,34,-755.2188110351562,34,-703.471923828125
35,-597.0929565429688,35,-698.9320068359375,35,-826.4716186523438
36,-533.380615234375,36,-700.3741455078125,36,-677.0845336914062
37,-516.89404296875,37,-727.4788818359375,37,-747.045654296875
38,-565.10888671875,38,-803.1259765625,38,-771.4058837890625
39,-493.7340393066406,39,-696.40576171875,39,-857.6697387695312
40,-511.3505554199219,40,-797.4957885742188,40,-769.7276611328125
41,-479.9627380371094,41,-658.8416137695312,41,-773.757080078125
42,-509.8081970214844,42,-897.180908203125,42,-875.744140625
43,-620.7338256835938,43,-837.3779296875,43,-851.2752685546875
44,-524.3231201171875,44,-706.6553955078125,44,-746.5061645507812
45,-489.9187927246094,45,-702.4940185546875,45,-637.2392578125
46,-507.7669677734375,46,-724.1387939453125,46,-794.9637451171875
47,-474.8981628417969,47,-651.65869140625,47,-814.5595703125
