teacher_step,teacher_reward,student_step,student_reward
0,-147.08248901367188,0,-102.84867095947266
1,-243.9634552001953,1,-224.24107360839844
2,-322.62213134765625,2,-280.8838806152344
3,-336.3446044921875,3,-308.7763366699219
4,-380.4012756347656,4,-348.9174499511719
5,-413.924072265625,5,-400.0839538574219
6,-495.6756286621094,6,-430.12841796875
7,-496.2639465332031,7,-491.756103515625
8,-525.8712158203125,8,-544.2777099609375
9,-548.8888549804688,9,-586.4779052734375
10,-620.693603515625,10,-548.3232421875
11,-562.9866943359375,11,-566.1209716796875
12,-630.4340209960938,12,-619.830322265625
13,-669.5429077148438,13,-619.2677612304688
14,-605.2022705078125,14,-639.9899291992188
15,-709.4783935546875,15,-663.0559692382812
16,-636.2767944335938,16,-739.564453125
17,-641.3855590820312,17,-656.0851440429688
18,-667.5946044921875,18,-633.8677368164062
19,-627.0174560546875,19,-696.3217163085938
20,-679.4595947265625,20,-735.9171142578125
21,-681.1234130859375,21,-666.3699951171875
22,-632.204833984375,22,-644.1581420898438
23,-633.3411865234375,23,-670.0320434570312
24,-658.7850341796875,24,-682.1102905273438
25,-619.028564453125,25,-607.7390747070312
26,-624.3510131835938,26,-645.3876953125
27,-644.8233642578125,27,-660.385498046875
28,-576.1286010742188,28,-696.2376098632812
29,-540.8564453125,29,-719.9483032226562
30,-628.3375244140625,30,-681.765380859375
31,-742.837158203125,31,-663.93115234375
32,-620.8944702148438,32,-600.5271606445312
33,-568.636474609375,33,-606.5232543945312
34,-606.8799438476562,34,-459.56988525390625
35,-551.5767822265625,35,-634.2083740234375
36,-553.2408447265625,36,-572.3550415039062
37,-559.7086791992188,37,-466.9164123535156
38,-554.8540649414062,38,-500.2462463378906
39,-450.9204406738281,39,-562.7107543945312
40,-494.1721496582031,40,-571.7269287109375
41,-454.3309020996094,41,-533.9459838867188
42,-475.9692077636719,42,-518.9843139648438
43,-588.81884765625,43,-602.8929443359375
44,-534.494384765625,44,-670.0643920898438
45,-491.27960205078125,45,-459.30035400390625
46,-504.9614562988281,46,-516.1314086914062
47,-478.159423828125,47,-474.5958557128906
48,-496.69158935546875,48,-468.779296875
49,-448.7770080566406,49,-441.9748840332031
50,-450.86883544921875,50,-464.6558532714844
51,-381.82891845703125,51,-425.23870849609375
52,-368.2364196777344,52,-409.5632019042969
53,-391.5688171386719,53,-411.8870544433594
54,-346.4757385253906,54,-402.8611145019531
55,-342.8092956542969,55,-377.02545166015625
56,-309.7394104003906,56,-347.44476318359375
57,-333.4595642089844,57,-371.2378234863281
58,-281.15240478515625,58,-376.0950012207031
59,-322.113037109375,59,-327.21734619140625
60,-290.5957946777344,60,-338.4300842285156
61,-315.72235107421875,61,-313.8629150390625
62,-342.8592529296875,62,-261.1952819824219
63,-351.4649963378906,63,-289.91448974609375
64,-261.7148132324219,64,-276.66241455078125
65,-235.13768005371094,65,-290.4654235839844
66,-371.56231689453125,66,-260.18048095703125
67,-255.08009338378906,67,-259.5300598144531
68,-229.36776733398438,68,-260.5409851074219
69,-278.3529968261719,69,-259.1783142089844
70,-219.0231170654297,70,-227.5867462158203
71,-246.22593688964844,71,-213.44326782226562
72,-239.8052978515625,72,-220.4634246826172
73,-264.5658874511719,73,-199.1569061279297
74,-223.33839416503906,74,-185.62828063964844
75,-193.34542846679688,75,-192.59629821777344
76,-168.74009704589844,76,-211.31507873535156
77,-175.6988067626953,77,-214.5541229248047
78,-176.54042053222656,78,-172.27496337890625
79,-143.12591552734375,79,-157.2088165283203
80,-156.1815643310547,80,-186.0673828125
81,-154.56573486328125,81,-187.25234985351562
82,-99.85150146484375,82,-172.81838989257812
83,-179.60655212402344,83,-116.45374298095703
84,-126.72735595703125,84,-96.63359832763672
85,-98.30522155761719,85,-97.62557220458984
86,-48.4329833984375,86,-102.9368667602539
87,-74.18807983398438,87,-85.84757232666016
88,-27.276824951171875,88,-83.12286376953125
89,-35.903404235839844,89,-79.52030944824219
90,-17.150066375732422,90,-53.64374923706055
91,-43.36321258544922,91,-26.120206832885742
