FULL_step_teacher,FULL_reward_teacher,FULL_step_student,FULL_reward_student,INT_step_teacher,INT_reward_teacher,INT_step_student,INT_reward_student,EXT_step_teacher,EXT_reward_teacher,EXT_step_student,EXT_reward_student
0,-147.08248901367188,0,-102.84867095947266,0,-122.47335052490234,0,-121.56692504882812,0,-115.38134765625,0,-115.97166442871094
1,-243.9634552001953,1,-224.24107360839844,1,-230.40975952148438,1,-174.88470458984375,1,-237.2775421142578,1,-161.97848510742188
2,-322.62213134765625,2,-280.8838806152344,2,-302.6865539550781,2,-226.62301635742188,2,-294.08331298828125,2,-192.94992065429688
3,-336.3446044921875,3,-308.7763366699219,3,-336.0294494628906,3,-291.396484375,3,-344.23638916015625,3,-248.1658935546875
4,-380.4012756347656,4,-348.9174499511719,4,-395.4283142089844,4,-336.69989013671875,4,-369.0453186035156,4,-306.1124267578125
5,-413.924072265625,5,-400.0839538574219,5,-418.9348449707031,5,-378.699951171875,5,-423.4100341796875,5,-343.77227783203125
6,-495.6756286621094,6,-430.12841796875,6,-511.1790771484375,6,-438.1407470703125,6,-506.27587890625,6,-390.54107666015625
7,-496.2639465332031,7,-491.756103515625,7,-525.5513916015625,7,-463.2285461425781,7,-526.3887939453125,7,-432.895751953125
8,-525.8712158203125,8,-544.2777099609375,8,-540.4774780273438,8,-496.1219482421875,8,-604.1305541992188,8,-482.76416015625
9,-548.8888549804688,9,-586.4779052734375,9,-559.3011474609375,9,-527.6348876953125,9,-584.887451171875,9,-523.9691772460938
10,-620.693603515625,10,-548.3232421875,10,-611.8215942382812,10,-579.9361572265625,10,-677.420166015625,10,-570.2297973632812
11,-562.9866943359375,11,-566.1209716796875,11,-631.0968627929688,11,-621.83544921875,11,-679.3563842773438,11,-629.1699829101562
12,-630.4340209960938,12,-619.830322265625,12,-714.0339965820312,12,-662.3427124023438,12,-711.8563842773438,12,-694.7433471679688
13,-669.5429077148438,13,-619.2677612304688,13,-643.3451538085938,13,-676.8261108398438,13,-713.76513671875,13,-715.080322265625
14,-605.2022705078125,14,-639.9899291992188,14,-624.91943359375,14,-737.71630859375,14,-774.5179443359375,14,-749.597412109375
15,-709.4783935546875,15,-663.0559692382812,15,-743.4479370117188,15,-748.4285278320312,15,-835.0377197265625,15,-814.169921875
16,-636.2767944335938,16,-739.564453125,16,-735.4463500976562,16,-741.2171630859375,16,-803.151123046875,16,-820.1624755859375
17,-641.3855590820312,17,-656.0851440429688,17,-670.8517456054688,17,-715.1885375976562,17,-813.4276123046875,17,-860.763916015625
18,-667.5946044921875,18,-633.8677368164062,18,-713.6200561523438,18,-675.0569458007812,18,-875.9579467773438,18,-866.9068603515625
19,-627.0174560546875,19,-696.3217163085938,19,-776.5170288085938,19,-708.3666381835938,19,-744.6219482421875,19,-855.9287109375
20,-679.4595947265625,20,-735.9171142578125,20,-766.1087036132812,20,-718.3673095703125,20,-852.583251953125,20,-863.9716186523438
21,-681.1234130859375,21,-666.3699951171875,21,-727.9524536132812,21,-705.5582275390625,21,-791.33056640625,21,-819.8404541015625
22,-632.204833984375,22,-644.1581420898438,22,-772.3367919921875,22,-778.9298706054688,22,-718.5629272460938,22,-757.7473754882812
23,-633.3411865234375,23,-670.0320434570312,23,-635.3800659179688,23,-772.882080078125,23,-744.1132202148438,23,-715.520751953125
24,-658.7850341796875,24,-682.1102905273438,24,-814.8784790039062,24,-769.288818359375,24,-738.9063720703125,24,-703.5921020507812
25,-619.028564453125,25,-607.7390747070312,25,-796.9343872070312,25,-820.097900390625,25,-674.9608154296875,25,-792.3908081054688
26,-624.3510131835938,26,-645.3876953125,26,-813.3767700195312,26,-814.5390625,26,-724.5361328125,26,-821.3278198242188
27,-644.8233642578125,27,-660.385498046875,27,-748.7782592773438,27,-829.5111083984375,27,-646.3018798828125,27,-719.3516235351562
28,-576.1286010742188,28,-696.2376098632812,28,-713.3451538085938,28,-681.1561279296875,28,-757.9374389648438,28,-729.7848510742188
29,-540.8564453125,29,-719.9483032226562,29,-673.3838500976562,29,-628.5783081054688,29,-764.3444213867188,29,-743.0448608398438
30,-628.3375244140625,30,-681.765380859375,30,-832.5736083984375,30,-641.9608154296875,30,-783.451904296875,30,-779.5157470703125
31,-742.837158203125,31,-663.93115234375,31,-798.3367309570312,31,-691.7062377929688,31,-817.39697265625,31,-770.4695434570312
32,-620.8944702148438,32,-600.5271606445312,32,-733.845458984375,32,-726.3760375976562,32,-792.7672729492188,32,-748.00830078125
33,-568.636474609375,33,-606.5232543945312,33,-742.8283081054688,33,-778.1400756835938,33,-764.6678466796875,33,-735.0819091796875
34,-606.8799438476562,34,-459.56988525390625,34,-732.4238891601562,34,-718.531005859375,34,-759.0003051757812,34,-681.7708740234375
35,-551.5767822265625,35,-634.2083740234375,35,-698.9683227539062,35,-654.9719848632812,35,-903.6141357421875,35,-644.274658203125
36,-553.2408447265625,36,-572.3550415039062,36,-736.2745361328125,36,-593.7772216796875,36,-699.2523803710938,36,-620.4386596679688
37,-559.7086791992188,37,-466.9164123535156,37,-739.2453002929688,37,-560.5611572265625,37,-698.0984497070312,37,-683.4071044921875
38,-554.8540649414062,38,-500.2462463378906,38,-860.7032470703125,38,-618.0921020507812,38,-771.3939208984375,38,-722.7118530273438
39,-450.9204406738281,39,-562.7107543945312,39,-668.8843994140625,39,-700.5343627929688,39,-754.401123046875,39,-853.0751953125
40,-494.1721496582031,40,-571.7269287109375,40,-761.5888061523438,40,-810.1511840820312,40,-733.78564453125,40,-836.1466064453125
41,-454.3309020996094,41,-533.9459838867188,41,-616.61181640625,41,-829.548095703125,41,-790.6961669921875,41,-806.1142578125
42,-475.9692077636719,42,-518.9843139648438,42,-806.4314575195312,42,-844.1026000976562,42,-860.5869750976562,42,-748.82568359375
