Baseline_step,Baseline_length,RMA_step,RMA_length,CTS_step,CTS_length
0,20.579999923706055,0,19.959999084472656,0,21.760000228881836
1,44.0,1,44.75,1,43.36000061035156
2,64.87000274658203,2,64.61000061035156,2,66.87000274658203
3,82.94999694824219,3,85.12000274658203,3,83.30999755859375
4,100.72000122070312,4,103.98999786376953,4,101.04000091552734
5,122.23999786376953,5,123.98999786376953,5,114.87999725341797
6,141.58999633789062,6,141.52000427246094,6,140.5500030517578
7,158.97999572753906,7,152.64999389648438,7,158.22000122070312
8,182.3800048828125,8,178.36000061035156,8,167.11000061035156
9,173.5399932861328,9,178.0,9,190.5500030517578
10,209.41000366210938,10,198.0399932861328,10,204.24000549316406
11,213.05999755859375,11,205.5800018310547,11,212.60000610351562
12,221.77000427246094,12,208.6999969482422,12,226.0800018310547
13,253.4600067138672,13,227.5399932861328,13,242.0
14,249.75999450683594,14,219.3000030517578,14,234.55999755859375
15,271.0,15,221.14999389648438,15,289.8299865722656
16,291.17999267578125,16,246.27999877929688,16,253.3699951171875
17,256.8800048828125,17,236.05999755859375,17,241.63999938964844
18,284.0,18,248.61000061035156,18,283.5
19,264.6300048828125,19,232.83999633789062,19,256.6300048828125
20,297.8999938964844,20,214.6300048828125,20,321.0199890136719
21,297.7200012207031,21,229.6300048828125,21,308.0299987792969
22,282.9700012207031,22,232.88999938964844,22,301.80999755859375
23,269.239990234375,23,226.6999969482422,23,298.7200012207031
24,259.0899963378906,24,255.4600067138672,24,306.8699951171875
25,341.7799987792969,25,242.58999633789062,25,305.489990234375
26,304.1700134277344,26,267.8999938964844,26,311.8999938964844
27,303.70001220703125,27,210.4199981689453,27,326.3399963378906
28,299.95001220703125,28,227.3800048828125,28,331.8800048828125
29,323.8599853515625,29,243.47000122070312,29,314.3299865722656
30,328.9599914550781,30,271.9800109863281,30,365.8399963378906
31,343.45001220703125,31,223.0399932861328,31,355.94000244140625
32,343.1700134277344,32,214.07000732421875,32,388.1000061035156
33,355.0899963378906,33,258.239990234375,33,336.69000244140625
34,335.0,34,239.0500030517578,34,357.5799865722656
35,340.489990234375,35,236.83999633789062,35,392.45001220703125
36,322.0899963378906,36,259.1300048828125,36,349.95001220703125
37,339.3699951171875,37,254.4600067138672,37,326.57000732421875
38,358.0299987792969,38,294.4800109863281,38,388.1499938964844
39,316.42999267578125,39,257.70001220703125,39,293.1400146484375
40,365.54998779296875,40,309.6099853515625,40,339.4599914550781
41,360.07000732421875,41,355.5199890136719,41,345.67999267578125
42,428.739990234375,42,340.5400085449219,42,373.7699890136719
43,413.3399963378906,43,374.5799865722656,43,456.8500061035156
44,384.0400085449219,44,324.8900146484375,44,392.5400085449219
45,380.6099853515625,45,333.4100036621094,45,365.5799865722656
46,315.5899963378906,46,361.7200012207031,46,410.3699951171875
47,365.82000732421875,47,332.1600036621094,47,329.69000244140625
48,351.69000244140625,48,336.3599853515625,48,387.7699890136719
49,364.1400146484375,49,276.1199951171875,49,380.19000244140625
50,325.4800109863281,50,335.7799987792969,50,354.2699890136719
51,322.3599853515625,51,235.4499969482422,51,347.44000244140625
52,320.8999938964844,52,269.6600036621094,52,364.29998779296875
53,358.3500061035156,53,296.9800109863281,53,369.8999938964844
54,343.2099914550781,54,321.9599914550781,54,342.1099853515625
55,348.7699890136719,55,279.6400146484375,55,361.8900146484375
56,376.6199951171875,56,277.739990234375,56,304.0
57,284.30999755859375,57,277.7799987792969,57,386.67999267578125
58,359.67999267578125,58,248.6999969482422,58,320.8399963378906
59,294.4800109863281,59,248.77999877929688,59,345.94000244140625
60,330.1000061035156,60,259.3399963378906,60,373.6300048828125
61,287.2300109863281,61,198.94000244140625,61,359.7200012207031
62,303.3599853515625,62,200.99000549316406,62,395.44000244140625
63,299.30999755859375,63,189.00999450683594,63,378.1099853515625
64,310.6400146484375,64,203.17999267578125,64,325.30999755859375
65,259.25,65,202.22999572753906,65,354.67999267578125
66,249.33999633789062,66,203.24000549316406,66,395.0199890136719
67,302.82000732421875,67,174.17999267578125,67,395.70001220703125
68,392.5,68,210.72000122070312,68,392.9200134277344
69,320.9700012207031,69,133.10000610351562,69,391.2099914550781
70,336.7200012207031,70,123.45999908447266,70,409.9100036621094
71,281.30999755859375,71,147.25,71,407.8800048828125
72,333.6600036621094,72,116.13999938964844,72,429.8399963378906
73,330.92999267578125,73,157.22000122070312,73,484.6400146484375
74,296.2799987792969,74,105.94000244140625,74,441.25
75,261.20001220703125,75,136.9199981689453,75,466.239990234375
76,303.7900085449219,76,82.06999969482422,76,483.0899963378906
77,316.92999267578125,77,87.08999633789062,77,532.77001953125
78,322.5400085449219,78,88.87999725341797,78,514.6099853515625
79,381.25,79,74.68000030517578,79,556.2000122070312
80,302.9200134277344,80,60.060001373291016,80,545.239990234375
81,304.55999755859375,81,48.54999923706055,81,455.3900146484375
82,307.7799987792969,82,61.400001525878906,82,526.5399780273438
83,358.69000244140625,83,57.68000030517578,83,507.1400146484375
84,305.1300048828125,84,43.63999938964844,84,546.3300170898438
85,338.17999267578125,85,47.810001373291016,85,479.67999267578125
86,311.2799987792969,86,36.08000183105469,86,552.0499877929688
87,338.92999267578125,87,40.93000030517578,87,484.79998779296875
88,312.82000732421875,88,40.2599983215332,88,584.8400268554688
89,364.2200012207031,89,40.310001373291016,89,566.9500122070312
90,329.7300109863281,90,35.470001220703125,90,498.2900085449219
91,362.5400085449219,91,36.77000045776367,91,563.0800170898438
92,314.5199890136719,92,37.900001525878906,92,577.9199829101562
93,385.6199951171875,93,34.2599983215332,93,659.1500244140625
94,346.6099853515625,94,34.75,94,582.4500122070312
95,319.95001220703125,95,34.119998931884766,95,655.7999877929688
96,386.20001220703125,96,32.459999084472656,96,671.969970703125
97,337.260009765625,97,34.349998474121094,97,547.7899780273438
98,297.6000061035156,98,33.20000076293945,98,586.280029296875
99,363.8299865722656,99,35.369998931884766,99,556.47998046875
100,334.3599853515625,100,32.56999969482422,100,559.9400024414062
101,351.510009765625,101,32.0099983215332,101,563.3699951171875
102,429.2799987792969,102,32.970001220703125,102,638.9299926757812
103,322.239990234375,103,31.0,103,564.0800170898438
104,442.07000732421875,104,32.810001373291016,104,614.8599853515625
105,404.7099914550781,105,31.829999923706055,105,566.5399780273438
106,386.4800109863281,106,30.440000534057617,106,615.030029296875
107,402.010009765625,107,30.420000076293945,107,610.77001953125
108,358.8500061035156,108,30.139999389648438,108,645.9000244140625
109,391.79998779296875,109,27.670000076293945,109,637.1799926757812
110,393.19000244140625,110,30.030000686645508,110,620.97998046875
111,471.8500061035156,111,29.3799991607666,111,678.9199829101562
112,402.3500061035156,112,30.459999084472656,112,629.0599975585938
113,415.3299865722656,113,31.110000610351562,113,636.25
114,421.6199951171875,114,31.149999618530273,114,593.1099853515625
115,439.3699951171875,115,30.959999084472656,115,662.969970703125
116,361.1199951171875,116,28.739999771118164,116,654.739990234375
117,411.7699890136719,117,29.6299991607666,117,638.8499755859375
118,423.8900146484375,118,28.059999465942383,118,661.3300170898438
119,422.8900146484375,119,27.40999984741211,119,680.1599731445312
120,451.19000244140625,120,29.309999465942383,120,638.010009765625
121,432.0899963378906,121,28.719999313354492,121,684.75
122,466.82000732421875,122,28.280000686645508,122,716.0800170898438
123,461.1199951171875,123,28.670000076293945,123,670.1199951171875
124,350.760009765625,124,29.729999542236328,124,708.6599731445312
125,394.44000244140625,125,27.8700008392334,125,700.4199829101562
126,389.30999755859375,126,29.510000228881836,126,629.2000122070312
127,487.0400085449219,127,30.31999969482422,127,681.030029296875
128,481.79998779296875,128,29.170000076293945,128,714.5399780273438
129,437.1000061035156,129,29.270000457763672,129,636.7999877929688
130,463.5799865722656,130,29.329999923706055,130,683.8400268554688
131,479.8699951171875,131,31.139999389648438,131,687.22998046875
132,497.0,132,29.25,132,740.280029296875
133,452.8800048828125,133,29.309999465942383,133,678.489990234375
134,469.989990234375,134,29.06999969482422,134,685.1300048828125
135,385.2699890136719,135,30.770000457763672,135,735.0399780273438
136,462.2799987792969,136,28.200000762939453,136,711.5800170898438
137,468.5899963378906,137,29.469999313354492,137,640.1900024414062
138,438.1199951171875,138,29.219999313354492,138,686.530029296875
139,440.7099914550781,139,30.270000457763672,139,712.239990234375
140,458.1000061035156,140,30.56999969482422,140,739.5499877929688
141,484.010009765625,141,30.06999969482422,141,745.780029296875
142,387.04998779296875,142,31.649999618530273,142,658.0499877929688
143,518.8099975585938,143,29.1299991607666,143,725.72998046875
144,537.4000244140625,144,28.90999984741211,144,710.489990234375
145,468.3800048828125,145,27.520000457763672,145,689.2000122070312
146,431.0199890136719,146,28.469999313354492,146,618.4400024414062
147,495.8699951171875,147,28.8700008392334,147,649.9000244140625
148,493.4700012207031,148,28.90999984741211,148,640.7100219726562
149,513.3800048828125,149,29.31999969482422,149,635.3200073242188
150,457.3900146484375,150,29.0,150,657.02001953125
151,503.8900146484375,151,29.1299991607666,151,728.5999755859375
152,526.6199951171875,152,28.780000686645508,152,675.5599975585938
153,553.2100219726562,153,26.860000610351562,153,697.9099731445312
154,581.5499877929688,154,26.059999465942383,154,666.8800048828125
155,572.1400146484375,155,26.459999084472656,155,664.1099853515625
156,505.3299865722656,156,26.43000030517578,156,705.2000122070312
157,540.0999755859375,157,28.68000030517578,157,671.6500244140625
158,432.6300048828125,158,26.110000610351562,158,714.75
159,557.530029296875,159,26.579999923706055,159,730.8800048828125
160,574.8599853515625,160,29.68000030517578,160,639.77001953125
161,532.3699951171875,161,25.8799991607666,161,699.489990234375
162,627.489990234375,162,26.59000015258789,162,714.52001953125
163,553.52001953125,163,26.329999923706055,163,667.010009765625
164,616.0499877929688,164,26.459999084472656,164,670.4600219726562
165,563.6699829101562,165,27.940000534057617,165,729.7899780273438
166,523.5700073242188,166,26.780000686645508,166,665.8099975585938
167,536.969970703125,167,27.260000228881836,167,693.260009765625
168,579.6699829101562,168,28.479999542236328,168,660.8300170898438
169,666.780029296875,169,26.350000381469727,169,712.6699829101562
170,502.0899963378906,170,27.0,170,694.1500244140625
171,614.72998046875,171,25.649999618530273,171,753.3599853515625
172,597.760009765625,172,28.670000076293945,172,689.030029296875
173,631.0999755859375,173,25.360000610351562,173,735.4199829101562
174,560.6699829101562,174,27.020000457763672,174,711.1300048828125
175,530.760009765625,175,26.920000076293945,175,660.27001953125
176,542.3300170898438,176,28.190000534057617,176,734.3099975585938
177,567.4600219726562,177,29.0,177,707.489990234375
178,550.3699951171875,178,27.0,178,701.510009765625
179,516.52001953125,179,26.860000610351562,179,707.5499877929688
180,624.1900024414062,180,29.059999465942383,180,661.3200073242188
181,566.3699951171875,181,27.270000457763672,181,629.4299926757812
182,580.7899780273438,182,28.530000686645508,182,686.3300170898438
183,599.47998046875,183,27.899999618530273,183,639.0700073242188
184,589.9600219726562,184,27.690000534057617,184,699.510009765625
185,567.0800170898438,185,26.520000457763672,185,674.27001953125
186,609.1599731445312,186,27.5,186,681.6099853515625
187,668.72998046875,187,26.100000381469727,187,676.010009765625
188,617.9600219726562,188,29.139999389648438,188,625.8099975585938
189,668.6599731445312,189,25.329999923706055,189,735.1500244140625
190,631.8699951171875,190,25.959999084472656,190,703.1599731445312
191,637.989990234375,191,29.31999969482422,191,657.760009765625
192,654.1099853515625,192,25.93000030517578,192,691.9299926757812
