Baseline_step,Baseline_reward,RMA_step,RMA_reward,CTS_step,CTS_reward
0,-153.40911865234375,0,-164.7971649169922,0,-160.2662353515625
1,-239.92771911621094,1,-278.7227478027344,1,-246.55702209472656
2,-310.7564697265625,2,-343.381591796875,2,-320.9850158691406
3,-371.73272705078125,3,-410.8973388671875,3,-337.73834228515625
4,-421.5694580078125,4,-467.1839904785156,4,-389.93048095703125
5,-439.4300842285156,5,-509.629638671875,5,-417.66064453125
6,-484.2488708496094,6,-603.8348388671875,6,-508.5419921875
7,-552.323486328125,7,-619.3353881835938,7,-508.3472900390625
8,-605.052978515625,8,-681.9015502929688,8,-542.5540771484375
9,-547.4491577148438,9,-719.6048583984375,9,-538.3433227539062
10,-655.9664916992188,10,-744.3048095703125,10,-597.537841796875
11,-661.24560546875,11,-809.1817626953125,11,-567.7890014648438
12,-652.41943359375,12,-747.3256225585938,12,-633.912109375
13,-743.1539306640625,13,-829.3443603515625,13,-670.8062744140625
14,-712.8890380859375,14,-814.387939453125,14,-606.0582885742188
15,-779.476806640625,15,-805.197265625,15,-727.0860595703125
16,-817.2164916992188,16,-897.1685791015625,16,-633.4943237304688
17,-726.402587890625,17,-818.3674926757812,17,-615.433837890625
18,-796.0703125,18,-838.42626953125,18,-642.648193359375
19,-752.8838500976562,19,-832.4359741210938,19,-624.9882202148438
20,-773.3121948242188,20,-763.6099243164062,20,-710.8790893554688
21,-799.5997314453125,21,-791.6309204101562,21,-665.8930053710938
22,-748.8642578125,22,-752.6527099609375,22,-663.9299926757812
23,-748.994140625,23,-788.3060913085938,23,-630.6997680664062
24,-650.988525390625,24,-876.652587890625,24,-649.4561157226562
25,-895.489990234375,25,-794.2196044921875,25,-621.5010986328125
26,-790.3751220703125,26,-913.420166015625,26,-603.6005859375
27,-755.6831665039062,27,-716.3338623046875,27,-626.5955200195312
28,-731.4393310546875,28,-715.473876953125,28,-639.1886596679688
29,-738.7881469726562,29,-811.9655151367188,29,-561.0487670898438
30,-791.9122924804688,30,-853.2989501953125,30,-681.1004638671875
31,-815.5388793945312,31,-719.6170043945312,31,-643.7430419921875
32,-803.61181640625,32,-698.5798950195312,32,-652.7346801757812
33,-761.5567626953125,33,-794.370849609375,33,-508.86419677734375
34,-801.2745361328125,34,-738.501708984375,34,-555.5518798828125
35,-753.5340576171875,35,-749.8699340820312,35,-597.0929565429688
36,-698.5828247070312,36,-842.5504150390625,36,-533.380615234375
37,-718.12890625,37,-767.6640625,37,-516.89404296875
38,-729.3306884765625,38,-855.9458618164062,38,-565.10888671875
39,-624.638916015625,39,-795.1245727539062,39,-493.7340393066406
40,-692.710693359375,40,-889.7407836914062,40,-511.3505554199219
41,-686.007568359375,41,-976.1998901367188,41,-479.9627380371094
42,-870.393310546875,42,-980.1973266601562,42,-509.8081970214844
43,-763.98974609375,43,-993.2340087890625,43,-620.7338256835938
44,-644.8192138671875,44,-914.651123046875,44,-524.3231201171875
45,-660.9663696289062,45,-905.5181274414062,45,-489.9187927246094
46,-566.5702514648438,46,-988.266845703125,46,-507.7669677734375
47,-594.2283935546875,47,-855.872314453125,47,-474.8981628417969
48,-587.2537841796875,48,-854.2420654296875,48,-453.2414245605469
49,-614.9981079101562,49,-750.9789428710938,49,-485.8864440917969
50,-529.9025268554688,50,-896.27490234375,50,-459.20904541015625
51,-498.3564758300781,51,-681.8430786132812,51,-391.00457763671875
52,-484.5046691894531,52,-714.3804321289062,52,-359.26849365234375
53,-560.1738891601562,53,-753.7528686523438,53,-366.4709777832031
54,-502.8115234375,54,-779.4447631835938,54,-358.22650146484375
55,-478.4317626953125,55,-727.6181030273438,55,-356.8230895996094
56,-563.0953979492188,56,-709.4503784179688,56,-288.37225341796875
57,-395.6873779296875,57,-720.2314453125,57,-337.23516845703125
58,-541.0647583007812,58,-650.80224609375,58,-289.4452209472656
59,-386.7362976074219,59,-699.3710327148438,59,-317.29559326171875
60,-446.8957824707031,60,-632.0750122070312,60,-303.8987121582031
61,-372.36663818359375,61,-525.62890625,61,-276.49993896484375
62,-403.2926940917969,62,-503.69744873046875,62,-323.91082763671875
63,-395.76580810546875,63,-495.0268859863281,63,-315.9855651855469
64,-399.4377746582031,64,-533.1547241210938,64,-282.9434814453125
65,-340.2743835449219,65,-489.0183410644531,65,-248.5836181640625
66,-288.38531494140625,66,-510.9006652832031,66,-329.15771484375
67,-345.8449401855469,67,-433.4350280761719,67,-254.90219116210938
68,-390.9674987792969,68,-520.1415405273438,68,-217.23098754882812
69,-381.5745849609375,69,-342.488037109375,69,-266.111083984375
70,-333.7439270019531,70,-350.4630432128906,70,-232.80703735351562
71,-291.1268005371094,71,-399.0898132324219,71,-238.877197265625
72,-335.81610107421875,72,-325.5902099609375,72,-237.91146850585938
73,-318.2383728027344,73,-389.3533630371094,73,-269.6791076660156
74,-287.5611267089844,74,-324.15765380859375,74,-214.23992919921875
75,-290.3386535644531,75,-331.0896301269531,75,-173.70289611816406
76,-298.4895324707031,76,-245.72830200195312,76,-197.90667724609375
77,-299.2229919433594,77,-258.49755859375,77,-170.78872680664062
78,-312.1593017578125,78,-266.8608703613281,78,-134.601806640625
79,-245.39349365234375,79,-243.26425170898438,79,-173.65235900878906
80,-259.7378845214844,80,-208.71437072753906,80,-180.32717895507812
81,-256.6277770996094,81,-197.1118621826172,81,-167.71392822265625
82,-256.18121337890625,82,-205.47015380859375,82,-111.73536682128906
83,-229.291015625,83,-202.8806915283203,83,-191.3936004638672
84,-197.0799102783203,84,-176.2982177734375,84,-138.44627380371094
85,-221.045166015625,85,-185.95994567871094,85,-76.98931884765625
86,-232.59719848632812,86,-173.75831604003906,86,-72.02566528320312
87,-185.36865234375,87,-167.82183837890625,87,-62.625240325927734
88,-188.19615173339844,88,-182.74607849121094,88,-39.632389068603516
89,-183.00050354003906,89,-170.0532989501953,89,-39.97935104370117
90,-156.4545135498047,90,-168.00180053710938,90,-28.866600036621094
91,-197.27545166015625,91,-170.99168395996094,91,-62.97135925292969
92,-152.6609649658203,92,-184.3711700439453,92,15.477442741394043
93,-173.6042938232422,93,-160.98753356933594,93,26.66382598876953
94,-162.59825134277344,94,-160.14300537109375,94,20.89345359802246
95,-125.44871520996094,95,-161.69039916992188,95,16.351957321166992
96,-180.08717346191406,96,-165.2107696533203,96,43.82706069946289
97,-172.24937438964844,97,-163.6162109375,97,54.5624885559082
98,-128.423583984375,98,-160.6007080078125,98,33.22092819213867
99,-110.34330749511719,99,-161.361328125,99,73.21260070800781
100,-127.69734191894531,100,-159.272216796875,100,77.21826934814453
101,-127.16809844970703,101,-153.43080139160156,101,55.55730056762695
102,-131.30606079101562,102,-157.9925079345703,102,155.2777099609375
103,-96.54013061523438,103,-156.3639373779297,103,143.7432098388672
104,-94.46388244628906,104,-154.10955810546875,104,179.44580078125
105,-31.3056640625,105,-159.50926208496094,105,109.47238159179688
106,-30.334510803222656,106,-153.47991943359375,106,234.82308959960938
107,-55.84467697143555,107,-153.95054626464844,107,177.90626525878906
