method,priv_mode,latent_dim,dr_scale,mean_reward,std_reward,mean_length,std_length,success_rate,episodes,checkpoint,timestamp
BASELINE,FULL,N/A,1.0,815.6846,146.6143,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:25:56
RMA2,FULL,32,1.0,970.6832,84.4068,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:26:22
BASELINE,FULL,N/A,1.5,818.3343,153.7864,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:26:44
CTS,FULL,32,1.0,765.4161,138.6861,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:27:05
RMA2,FULL,32,1.5,965.8963,125.4190,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:27:15
BASELINE,FULL,N/A,2.0,768.6834,107.5697,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:27:32
CTS,FULL,32,1.5,752.3185,144.0322,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:28:02
RMA2,FULL,32,2.0,979.6999,121.1424,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:28:08
RMA2,FULL,8,1.0,794.6300,124.1598,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:28:22
CTS,FULL,32,2.0,736.7414,131.8963,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:29:03
RMA2,INT,32,1.0,406.2276,219.7550,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:29:04
RMA2,FULL,8,1.5,784.3702,126.3190,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:29:12
RMA2,INT,32,1.5,331.8236,381.1134,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:30:11
RMA2,FULL,8,2.0,779.0129,130.0087,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:30:11
CTS,INT,32,1.0,1079.7129,77.5413,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:30:13
RMA2,INT,8,1.0,724.3419,111.7812,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:31:18
RMA2,INT,32,2.0,351.6150,527.4856,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:31:20
CTS,INT,32,1.5,1081.6876,119.1514,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:31:24
RMA2,INT,8,1.5,750.2840,123.4012,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:32:22
RMA2,EXT,32,1.0,-5783.7836,23707.4545,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:32:26
CTS,INT,32,2.0,1051.9178,133.9956,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:32:30
RMA2,INT,8,2.0,720.7139,117.6089,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:33:24
RMA2,EXT,32,1.5,-2892.4561,12193.9466,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:33:31
CTS,EXT,32,1.0,750.6863,153.6126,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:33:33
RMA2,EXT,8,1.0,1006.9405,108.4154,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:34:14
RMA2,EXT,32,2.0,-14550.7567,56041.8237,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:34:33
CTS,EXT,32,1.5,722.6537,106.8365,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:34:36
RMA2,EXT,8,1.5,1008.2765,157.7720,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:35:04
CTS,EXT,32,2.0,730.8402,140.6952,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:35:39
CTS,FULL,8,1.0,1045.8622,94.4991,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:35:39
RMA2,EXT,8,2.0,1025.0058,135.4815,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:35:52
CTS,FULL,64,1.0,747.5547,125.1406,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:36:46
CTS,FULL,8,1.5,1048.2842,88.6393,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:36:47
RMA2,FULL,16,1.0,1035.2584,116.9948,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:36:48
RMA2,FULL,16,1.5,1031.0700,135.0554,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:37:56
CTS,FULL,64,1.5,725.3588,96.5438,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:37:58
CTS,FULL,8,2.0,1022.8624,129.2193,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:38:00
RMA2,FULL,16,2.0,1009.7605,99.4699,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:39:01
CTS,FULL,64,2.0,738.8029,122.4723,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:39:08
CTS,INT,8,1.0,779.4964,127.8986,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:39:08
RMA2,INT,16,1.0,1071.1082,76.9578,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:39:50
CTS,INT,8,1.5,762.0630,133.8736,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:40:14
CTS,FULL,128,1.0,1091.8366,113.7204,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:40:15
RMA2,INT,16,1.5,1039.4229,104.8384,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:40:37
CTS,INT,8,2.0,734.7529,101.6348,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:41:20
CTS,FULL,128,1.5,1075.9692,98.9906,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:41:21
RMA2,INT,16,2.0,1051.6946,213.2208,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:41:29
RMA2,EXT,16,1.0,1021.9482,81.7753,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:42:30
CTS,FULL,16,1.0,724.2676,142.5513,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:42:31
CTS,FULL,128,2.0,1053.6878,111.8603,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:42:32
RMA2,EXT,16,1.5,1027.7223,106.6507,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:43:23
CTS,FULL,16,1.5,698.8797,80.9217,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:43:25
RMA2,EXT,16,2.0,1007.7968,134.3924,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:44:15
CTS,FULL,16,2.0,704.1196,113.8288,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:44:18
CTS,INT,16,1.0,1102.2857,164.7335,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:44:58
CTS,INT,16,1.5,1042.8497,132.2561,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:45:37
CTS,INT,16,2.0,1038.9402,195.0489,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:46:17
CTS,EXT,16,1.0,756.8584,164.7553,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:46:56
CTS,EXT,16,1.5,730.5480,112.3488,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:47:35
CTS,EXT,16,2.0,718.2746,120.8973,999.0,0.0,100.0,100,model_final.pt,2026-04-28 21:48:14
