method,priv_mode,latent_dim,dr_scale,mean_reward,std_reward,mean_length,std_length,success_rate,episodes,checkpoint,timestamp
BASELINE,FULL,N/A,1.0,2026.1529,119.5570,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:06:54
RMA2,FULL,8,1.0,1699.5039,288.1921,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:07:17
RMA2,INT,16,1.0,1621.3126,275.8164,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:07:31
BASELINE,FULL,N/A,1.5,1904.0432,265.0800,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:07:44
RMA2,FULL,8,1.5,1595.5058,351.7283,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:08:09
RMA2,INT,16,1.5,1572.1589,279.6668,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:08:24
BASELINE,FULL,N/A,2.0,1825.2262,331.7360,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:08:34
RMA2,FULL,8,2.0,1514.1943,400.9971,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:09:02
RMA2,INT,16,2.0,1488.5086,330.4025,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:09:16
BASELINE,FULL,N/A,3.0,1625.6264,463.5785,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:09:24
RMA2,FULL,8,3.0,1334.9428,398.9235,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:09:54
RMA2,INT,16,3.0,1297.8251,349.1111,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:10:10
BASELINE,FULL,N/A,4.0,1366.4926,440.4836,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:10:15
RMA2,FULL,8,4.0,1091.4677,382.6599,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:10:38
RMA2,INT,16,4.0,1220.4939,405.1742,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:10:57
CTS,FULL,8,1.0,1576.5541,110.8742,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:11:03
RMA2,FULL,16,1.0,1737.1471,157.7625,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:11:26
RMA2,EXT,16,1.0,1442.2846,261.1448,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:11:52
CTS,FULL,8,1.5,1526.0542,197.8906,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:12:02
RMA2,FULL,16,1.5,1631.9904,263.9642,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:12:18
RMA2,EXT,16,1.5,1418.1985,295.5026,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:12:44
CTS,FULL,8,2.0,1432.3010,247.8861,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:13:00
RMA2,FULL,16,2.0,1523.5702,331.8236,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:13:10
RMA2,EXT,16,2.0,1343.3368,318.4424,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:13:37
CTS,FULL,8,3.0,1278.7262,317.4939,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:13:57
RMA2,FULL,16,3.0,1351.6096,404.5743,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:14:03
RMA2,EXT,16,3.0,1256.4811,356.2664,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:14:26
RMA2,FULL,16,4.0,1123.5004,423.9414,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:14:59
CTS,FULL,8,4.0,1139.7421,346.2940,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:15:02
RMA2,EXT,16,4.0,1171.4743,366.7743,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:15:13
RMA2,FULL,32,1.0,1278.7497,287.9370,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:15:50
CTS,FULL,16,1.0,1530.7436,190.6323,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:15:54
RMA2,FULL,32,1.5,1279.3061,319.0344,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:16:42
CTS,FULL,16,1.5,1428.5315,273.7863,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:16:46
RMA2,FULL,32,2.0,1197.8651,278.0689,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:17:34
CTS,FULL,16,2.0,1372.9822,314.7320,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:17:37
RMA2,FULL,32,3.0,1181.7073,308.8312,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:18:26
CTS,FULL,16,3.0,1186.9997,383.4357,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:18:29
RMA2,FULL,32,4.0,1035.1399,321.6969,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:19:18
CTS,FULL,16,4.0,1077.7514,396.6031,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:19:22
RMA2,FULL,64,1.0,1749.2880,141.1727,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:20:10
CTS,FULL,64,1.0,1650.1194,185.2376,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:20:13
RMA2,FULL,64,1.5,1653.5537,240.6601,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:21:02
CTS,FULL,64,1.5,1539.7086,289.1745,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:21:05
RMA2,FULL,64,2.0,1545.6054,287.2276,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:21:54
CTS,FULL,64,2.0,1490.4980,306.3738,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:21:58
RMA2,FULL,64,3.0,1427.0378,335.4544,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:22:46
CTS,FULL,64,3.0,1290.3824,414.0877,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:22:50
RMA2,FULL,64,4.0,1231.2290,392.4237,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:23:39
CTS,FULL,64,4.0,1081.7042,422.3696,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:23:42
RMA2,FULL,128,1.0,1745.3128,187.4155,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:24:31
CTS,FULL,128,1.0,1593.8810,132.6933,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:24:35
RMA2,FULL,128,1.5,1645.2195,290.7895,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:25:27
CTS,FULL,128,1.5,1461.2723,236.2332,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:25:30
RMA2,FULL,128,2.0,1605.3018,290.5854,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:26:18
CTS,FULL,128,2.0,1329.2587,294.8998,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:26:22
RMA2,FULL,128,3.0,1405.5925,337.4669,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:27:11
CTS,FULL,128,3.0,1228.4379,359.1472,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:27:14
RMA2,FULL,128,4.0,1306.6996,433.1342,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:28:03
CTS,FULL,128,4.0,1092.4565,347.0961,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:28:06
CTS,INT,16,1.0,1667.2510,151.6584,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:28:42
CTS,INT,16,1.5,1550.9232,227.0522,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:29:18
CTS,INT,16,2.0,1472.1374,323.6139,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:29:55
CTS,INT,16,3.0,1356.4884,330.1255,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:30:31
CTS,INT,16,4.0,1138.3282,409.3977,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:31:07
CTS,EXT,16,1.0,1599.9963,171.8265,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:31:43
CTS,EXT,16,1.5,1542.0383,227.4699,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:32:20
CTS,EXT,16,2.0,1451.9423,306.7651,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:32:56
CTS,EXT,16,3.0,1316.0336,347.6907,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:33:32
CTS,EXT,16,4.0,1096.2436,400.0727,999.0,0.0,100.0,100,model_final.pt,2026-05-01 10:34:09
