sim,method,priv_mode,latent_dim,dr_scale,episode_length_s,mean_reward,std_reward,mean_length,std_length,success_rate,partial_rate,fall_rate,survival_rate,mean_lin_track,std_lin_track,mean_ang_track,std_ang_track,mean_track_err,std_track_err,mean_fwd_disp,std_fwd_disp,gait_adh,gait_adh_std,clear_err,clear_err_std,slip_rate,slip_rate_std,smoothness,smoothness_std,base_z_var,base_z_var_std,contact_sym,contact_sym_std,stride_var,stride_var_std,jtorque_var,jtorque_var_std,episodes,checkpoint,timestamp
mujoco,BASELINE,BASE,N/A,1.0,10.0,1160.9273,103.4778,500.0,0.0,63.3,36.7,0.0,100.0,0.7370,0.2280,0.9525,0.0318,0.2506,0.1586,2.7629,1.7568,0.307854,0.115196,0.000617,0.000427,1.145891,0.185820,0.437859,0.254579,0.000014,0.000007,0.134000,0.098064,0.001842,0.001374,9.564672,5.066056,30,model_final.pt,2026-05-11 18:25:05
mujoco,CTS,FULL,8,1.0,10.0,980.7178,116.8008,500.0,0.0,96.7,3.3,0.0,100.0,0.8573,0.0553,0.9281,0.0370,0.1782,0.0416,4.1043,0.9118,0.205430,0.037163,0.001165,0.000268,1.639855,0.295645,1.364888,0.185694,0.000365,0.000241,0.074400,0.042766,0.002749,0.001860,18.847193,4.175854,30,model_final.pt,2026-05-11 18:25:43
mujoco,RMA,FULL,8,1.0,10.0,833.2060,97.1688,500.0,0.0,63.3,36.7,0.0,100.0,0.7091,0.1586,0.9244,0.0499,0.2795,0.1066,2.6669,1.3846,0.184584,0.026586,0.000874,0.000472,1.431966,0.284103,2.120842,1.032627,0.000501,0.000380,0.048667,0.034337,0.002183,0.001816,15.823725,5.946440,30,model_final.pt,2026-05-11 18:25:59
mujoco,BASELINE,BASE,N/A,2.0,10.0,889.4092,360.9547,461.2,96.1,40.0,43.3,16.7,83.3,0.6196,0.2077,0.9093,0.0896,0.3399,0.1443,1.8681,1.7010,0.274579,0.110559,0.002756,0.006152,1.171725,0.430840,0.705211,0.642881,0.000154,0.000355,0.096938,0.088848,0.004842,0.008608,12.664094,9.090991,30,model_final.pt,2026-05-11 18:26:14
mujoco,CTS,FULL,8,2.0,10.0,647.7066,395.8140,437.1,132.1,53.3,23.3,23.3,76.7,0.6921,0.1538,0.8264,0.1059,0.3017,0.1207,2.7840,1.7960,0.217084,0.030454,0.002647,0.003498,1.527778,0.616730,1.637721,1.002942,0.000761,0.000779,0.081194,0.042218,0.004802,0.006084,22.465181,9.240931,30,model_final.pt,2026-05-11 18:26:48
mujoco,RMA,FULL,8,2.0,10.0,407.6950,416.4787,455.7,108.4,16.7,66.7,16.7,83.3,0.5441,0.1333,0.8051,0.1468,0.3993,0.0930,1.2904,1.0955,0.207695,0.042926,0.004844,0.011598,1.457835,0.454759,4.621712,5.379205,0.001005,0.001264,0.053583,0.054044,0.002434,0.002566,22.273185,18.426693,30,model_final.pt,2026-05-11 18:27:03
mujoco,CTS,INT,8,1.0,10.0,1119.0507,81.3797,500.0,0.0,60.0,40.0,0.0,100.0,0.6712,0.2325,0.9597,0.0340,0.3059,0.1509,2.4130,1.8711,0.210578,0.057716,0.000533,0.000424,1.285226,0.296044,0.396112,0.299742,0.000023,0.000032,0.000600,0.001873,0.000560,0.000918,6.818942,5.171567,30,model_final.pt,2026-05-12 08:54:30
mujoco,CTS,INT,8,2.0,10.0,945.8252,291.8928,469.0,95.6,43.3,46.7,10.0,90.0,0.6111,0.1917,0.9093,0.0930,0.3495,0.1258,1.8231,1.5494,0.203544,0.051715,0.000759,0.000840,1.252934,0.475583,0.528049,0.486366,0.000207,0.000496,0.005486,0.012550,0.002198,0.004848,8.397458,5.992080,30,model_final.pt,2026-05-12 08:54:46
mujoco,CTS,EXT,8,1.0,10.0,885.5714,123.9768,500.0,0.0,53.3,46.7,0.0,100.0,0.7175,0.1485,0.8849,0.0389,0.2739,0.1065,2.4619,1.2267,0.215862,0.015891,0.000803,0.000335,1.483566,0.364916,1.106251,0.244168,0.000252,0.000076,0.048467,0.034081,0.005993,0.009158,16.012593,3.162262,30,model_final.pt,2026-05-12 08:55:03
mujoco,CTS,EXT,8,2.0,10.0,699.5392,321.0035,449.6,128.8,33.3,53.3,13.3,86.7,0.6278,0.1665,0.8109,0.1235,0.3431,0.1251,1.7772,1.3289,0.215106,0.035029,0.002476,0.004842,1.291918,0.634411,1.097743,0.471007,0.000438,0.000600,0.072465,0.053316,0.003509,0.006073,17.525424,7.398243,30,model_final.pt,2026-05-12 08:55:19
mujoco,RMA,FULL,8,1.0,10.0,-1252.2384,2033.2016,269.6,182.0,0.0,33.3,66.7,33.3,0.4993,0.0964,0.5512,0.0995,0.4456,0.0742,0.7668,0.6086,0.357675,0.051654,0.012763,0.011758,2.026719,0.421299,12.506966,5.147962,0.003435,0.001814,0.334248,0.105973,0.002500,0.003817,48.704431,17.765403,30,model_final.pt,2026-05-19 14:54:44
mujoco,RMA,FULL,8,2.0,10.0,-444.1424,678.1806,273.4,195.3,0.0,36.7,63.3,36.7,0.4467,0.1011,0.6422,0.1521,0.4857,0.0837,0.6346,0.7398,0.310078,0.069388,0.015834,0.017309,1.937748,0.627277,10.539510,6.421462,0.002684,0.001585,0.237351,0.120933,0.002148,0.002246,41.907341,22.279477,30,model_final.pt,2026-05-19 14:54:52
